question_id,question,model_answer_raw,model_answer_norm,correct_answer,is_correct,k_level
ISTQB-C-v1.6-01,Which of the following is a typical test objective?,"Testing objectives define the purpose and goals of a test. Let's break down the options:

A. **Validating that documented requirements are met** - This is a common objective. Tests aim to ensure that the software behaves as described in the requirements document. This is a broad but valid objective.

B. **Causing failures and identifying defects** - While causing failures is a key part of testing, it's more of a **methodology** or **approach** to testing rather than a specific **test objective**. The goal is to identify defects, but the action of causing failures is a means to that end.

C. **Initiating errors and identifying root causes** - Similar to B, this describes a **testing strategy** or **approach**. The goal is to understand the root cause of an error, but the action of initiating errors is part of the testing process.

D. **Verifying the test object meets user expectations** - While user expectations are a crucial aspect of testing, the phrase ""test object meets user expectations"" is a bit awkward. Typically, the objective is to verify that the software (the ""test object"") meets certain criteria (e.g., functionality, performance, security) that aligns with user needs, but the phrasing here doesn't perfectly capture a typical test objective.

Therefore, the best answer is **A**, as it directly states a common and specific test objective: validating that the software meets the documented requirements.",A,B,False,K1
ISTQB-C-v1.6-02,Which of the following statements BEST describes the difference between testing and debugging?,"Option D: 'Testing finds the cause of defects while debugging fixes the cause of defects'. Testing identifies where defects are located, and debugging is the process of finding and fixing the root cause of the issue.",D,C,False,K2
ISTQB-C-v1.6-03,The 'absence-of-defects fallacy' is one of the principles of testing. Which of the following is an example of addressing this principle in practice?,"The 'absence-of-defects fallacy' occurs when testers assume that if no defects are found during testing, the system is defect-free. This is incorrect because a system can still have defects that are not triggered by the current test case or are hidden behind complex logic.

Addressing this principle in practice means ensuring that tests not only fail to find defects but actively confirm that certain parts of the system or specific defects have been eliminated.

- Option C ('Ensuring that no implementation defects remain in the delivered system') is incorrect because it implies that all defects must be removed, which is not practical or realistic. Testing can only confirm that certain defects have been eliminated during the delivery process, not that all defects exist in the code or implementation.
- Option A ('Explaining that it is not possible for testing to show the absence of defects') is a common pitfall of the 'absence-of-defects fallacy'. It misinterprets the principle, suggesting that testing cannot prove a system is defect-free.
- Option B ('Supporting the end users to perform acceptance testing') is not directly addressing the 'absence-of-defects fallacy'. While end users may perform acceptance testing, the fallacy refers to a testing principle, not an acceptance testing practice.
- Option D ('Modifying tests that cause no failures to ensure few defects remain') is the correct answer. It involves actively improving test cases to ensure they both fail to find defects and confirm that defects have been eliminated. This way, testers validate not just the absence of failures but also the absence of defects within the scope of the test.",D,B,False,K2
ISTQB-C-v1.6-04,Which of the following test activities are MOST likely to involve the application of boundary value analysis and equivalence partitioning?,"Boundary value analysis and equivalence partitioning are design of experiments techniques used to reduce the number of test cases required for a given input space. They are most closely associated with **Test Design (B)**. 

- **Boundary Value Analysis (BVA)**: A method where inputs are tested at the boundary values (e.g., lowest/highest acceptable value) and values immediately beyond those boundaries to check for unexpected behavior. It is a part of **Test Design** because testers decide which inputs to test based on BVA criteria.

- **Equivalence Partitioning (EPP)**: A method where inputs are grouped into equivalence classes based on their expected behavior. It is a fundamental part of **Test Design** because testers decide how to partition the input space for testing based on EPP principles.

The other options do not directly involve the application of these design of experiments techniques:
- **Test Implementation (A)**: Refers to writing the actual test scripts, which is a later stage in the testing lifecycle and not directly related to design.
- **Test Execution (C)**: Refers to running the existing test cases, which is a separate stage from designing them.
- **Test Monitoring (D)**: Refers to keeping track of test results, which is also a separate stage from designing the tests.
- **Test Analysis (E)**: While testing involves analysis, this option is too broad and does not specifically refer to the design phase where boundary value and equivalence partitioning are applied.",B,"B, E",False,K2
ISTQB-C-v1.6-05,"Given the following testware:
1. Coverage items
2. Change requests
3. Test execution schedule
4. Prioritized test conditions
And the following test activities
A. Test analysis
B. Test design
C. Test implementation
D. Test completion
Which of the following BEST shows the testware produced by the activities?","To determine which activity produces the most testware, we need to analyze the relationships between test activities and their outputs. 

- **Test Analysis (A):** Primarily an internal process for the testers, it does not directly produce tangible testware like coverage items, test cases, or test execution schedules. It's a foundational step but not a direct producer of concrete testware.
- **Test Design (B):** This activity directly produces:
  - **Prioritized Test Conditions/Scenarios:** These are the building blocks of test cases.
  - **Test Cases:** These are the primary deliverable of test design, encompassing both positive and negative paths.
  - **Test Execution Schedules:** These outline when and how test cases should be executed.
  - **Coverage Items:** These are the specific parts of the code that need to be covered by tests, often generated or identified during test design.
  - **Partially Generated Test Data:** Although not listed, test design often involves defining the structure and content of test data.
- **Test Implementation (C):** This activity directly produces:
  - **Test Implementation Code:** This is the actual code that performs the test cases, which is not listed but is the most tangible output.
- **Test Completion (D):** This activity marks the end of a test case or suite but does not produce new testware.

Therefore, the activity that **BEST** shows the testware produced is **Test Design (B):** It directly generates or is responsible for creating the majority of the testware, including test cases, test execution schedules, coverage items, and partially generated test data.",B,A,False,K2
ISTQB-C-v1.6-06,Which of the following statements about the different testing roles is MOST likely to be CORRECT?,"The correct statement is 'C': 'In Agile software development, test management activities that span multiple teams are handled by a test manager outside the team, while some test management tasks are handled by the team itself'. This accurately reflects the shared and distributed nature of test management in Agile environments.",C,C,True,K2
ISTQB-C-v1.6-07,Which of the following is an advantage of the whole-team approach?,"Improving team dynamics is a key advantage of the whole-team approach, as it fosters collaboration and knowledge sharing.",B,B,True,K1
ISTQB-C-v1.6-08,Which of the following statements about the independence of testing is CORRECT?,"The correct statement about the independence of testing is: ""Independent testers will find defects due to their different technical perspective from developers, but their independence may lead to an adversarial relationship with the developers."" This highlights the dual nature of independent testing: it brings objectivity and finds defects that developers might miss, but it also creates a potential rift between testers and developers.",A,A,True,K2
ISTQB-C-v1.6-09,Which of the following is a good testing practice that applies to all software development lifecycles?,"For every test activity, there is a corresponding development activity. This ensures that testing is integrated with the development process, which is a core principle of good testing practices.",D,D,True,K1
ISTQB-C-v1.6-10,Which of the following is an example of a test-first approach to development?,The correct answer is 'D': 'Acceptance Test-Driven Development'. This is because acceptance test-driven development (ATDD) is a software development process that relies on writing tests before writing code. It is a 'test-first' approach where developers write the acceptance tests for a new feature before even writing the underlying logic.,D,D,True,K1
ISTQB-C-v1.6-11,Which of the following provides the BEST description of shift-left?,B provides the BEST description of shift-left. It accurately captures the essence of shifting test activities earlier in the SDLC to reduce overall costs.,B,B,True,K2
ISTQB-C-v1.6-12,Which of the following is LEAST likely to occur as a result of a retrospective?,"The correct answer is A, as a retrospective focuses on improving past practices, not future test objects.",A,C,False,K1
ISTQB-C-v1.6-13,Which of the following test levels is MOST likely being performed if the testing is focused on validation and is not being performed by testers?,"If the testing is focused on validation and is not being performed by testers, it is most likely 'Acceptance testing'. This is because acceptance testing is a validation test level performed by the acceptance team (which may not include testers) to validate whether the system meets the acceptance criteria.",D,D,True,K2
ISTQB-C-v1.6-14,"The navigation system software has been updated due to it suggesting routes that break traffic laws, such as driving the wrong way down one-way streets. Which of the following BEST describes the testing that will be performed?","The correct answer is B. The testing process will involve first running the navigation system with the updated software to confirm that it still produces illegal routes (confirmation testing). Then, the system will be reverted back to its previous version (regression testing) to ensure that the illegal routes were fixed in the update.",B,B,True,K2
ISTQB-C-v1.6-15,"Given the following example defects:
i. Two different parts of the design specification disagree due to the complexity of the design
ii. A response time is too long and so makes users lose patience
iii. A path in the code cannot be reached during execution
iv. A variable is declared but never subsequently used in the program
v. The amount of memory needed by the program to generate a report is too high
Which of the following BEST identifies example defects that could be found by static testing (rather than dynamic testing)?","Static testing identifies defects through analysis of code and specifications without execution. Defects listed in options A, B, and D require execution to confirm. Only option C (i, ii, iv) represents defects that can be identified purely through static analysis of code and specification.",C,D,False,K1
ISTQB-C-v1.6-16,Which of the following is a benefit of early and frequent stakeholder feedback?,"A benefit of early and frequent stakeholder feedback is that changes to requirements are understood and implemented earlier. This ensures that the product development process stays aligned with stakeholder needs, reducing delays and integration issues later in the development lifecycle.",A,A,True,K1
ISTQB-C-v1.6-17,"Given the following review types:
1. Technical review
2. Informal review
3. Inspection
4. Walkthrough
And the following descriptions:
A. Includes objectives such as gaining consensus, generating new ideas, and motivating authors to improve
B. Includes objectives such as educating reviewers, gaining consensus, generating new ideas and detecting potential defects
C. The main objective is detecting potential defects and it requires metrics collection to support process improvement
D. The main objective is detecting potential defects and it generates no formal documented output
Which of the following BEST matches the review types and the descriptions?","Explanation: 
- Technical reviews focus on providing constructive feedback that may include gaining consensus, generating new ideas, and improving the work. They are often formal and objective (1A, 2B, 3C, 4A).
- Informal reviews focus on educating the reviewers and gaining consensus, but they do not generate new ideas (2D, 3D, 4B).
- Inspections are formal, structured, and focused on detecting defects, which aligns with objectives B and C. They generate no formal output (3D, 4B).
- Walkthroughs are informal, interactive, and also focused on defect detection, aligning with objectives B and D (4A).
- Option C is incorrect because it incorrectly associates informal reviews with defect detection and metric collection.
- Option D is correct because it accurately matches the main objective of defect detection and the lack of formal documented output for inspections and walkthroughs.",D,B,False,K2
ISTQB-C-v1.6-18,Which of the following is a factor that contributes to a successful review?,"Set reviewer evaluation as an objective. This ensures that reviewers are held accountable for their quality and consistency, contributing to successful reviews.",C,B,False,K1
ISTQB-C-v1.6-19,What is the MAIN difference between black-box test techniques and experience-based test techniques?,"Black-box test techniques focus solely on the input, output, and functionality of the software system without considering internal design or implementation details. They treat the software as a black box, where the tester provides inputs and observes outputs to check for correctness without knowing how the system internally works.

Experience-based test techniques, on the other hand, rely on the knowledge and expertise of the tester regarding the internal design, implementation, and future enhancements of the system. They are often used in early stages of development when the testers have a deep understanding of the system's architecture, design decisions, and upcoming features. This allows them to design tests that cover not just the current functionality but also potential future improvements, internal logic, and upcoming bug fixes.",model not answer,C,False,K1
ISTQB-C-v1.6-20,"You are testing a PIN validator, which accepts valid PINs and rejects invalid PINs. A PIN is a sequence of digits. A PIN is valid if it consists of four digits, which are not all the same digit. You have identified the following valid equivalence partitions:
Variable: PIN code length
- The partition “length correct” (four-digit PINs)
- The partition “length incorrect” (PINs with length other than 4)
Variable: Number of different digits
- The partition “number of different digits correct” (PINs with at least two different digits)
- The partition “number of different digits incorrect” (PINs with all digits being the same)
Which of the following is the BEST set of input test data to cover the identified equivalence partitions?","The best set of test data is: {'A': '1234', 'B': '1111', 'C': '12', 'D': '12345'}. This set covers all the equivalence partitions: a four-digit PIN with different digits (‘A’), a four-digit PIN with the same digit (‘B’), a PIN of length four but with different digits (‘A’ is correct but ‘C’ is not), and a PIN of length five (which is correct but not part of the partitions).",A,A,True,K2
ISTQB-C-v1.6-21,A developer was asked to implement the following business rule: INPUT: value (integer number) IF (value ≤ 100 OR value ≥ 200) THEN write “value incorrect” ELSE write “value OK” You design the test cases using 2-value boundary value analysis. Which of the following sets of test inputs achieves the greatest coverage?,"The greatest coverage is achieved by option D: {'A': '100, 150, 200, 201', 'B': '99, 100, 200, 201', 'C': '98, 99, 100, 101', 'D': '101, 150, 199, 200'}. This set of inputs tests the boundary values 100, 150, 200, and 201 from different angles, ensuring that the business rule “value incorrect”/“value OK” is correctly applied under all conditions.",D,D,True,K3
ISTQB-C-v1.6-22,"You are working on a project to develop a system to analyze driving test results. You have been asked to design test cases based on the following decision table.
||R1|R2|R3|
|-------------:|:-------------:|:-------------:|:-------------:|
|C1: First attempt at the exam?|-|-|F|
| C2: Theoretical exam passed?|T|F|-|
| C3: Practical exam passed?|T|-|F|
| Issue a driving license?|X|||
| Request additional driving lessons?|||X|
| Request to take the exam again?||X||

What test data will show that there are contradictory rules in the decision table?","To show that there are contradictory rules, the test data should assign different values to the same set of conditions. For example, if C1 = True, then C2 should be True, but C3 should be False. If C1 = True, then C1 = False, C2 = True, and C3 = True. This is a contradictory set of rules.",model not answer,D,False,K3
